pref_label,uri,notation,description,alt_labels,in_schemes,broader,narrower
Security Management and Governance,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_management_governance,security_management_governance,"Governance and management activities, methodologies, processes and tools aimed at the preservation of confidentiality, integrity and availability of information as well as other properties such as authenticity, accountability and non-repudiation.",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/assessment_information_security_effectiveness_degrees_control; http://data.jrc.ec.europa.eu/ontology/cybersecurity/attack_modelling_techniques_countermeasures; http://data.jrc.ec.europa.eu/ontology/cybersecurity/capability_maturity_models; http://data.jrc.ec.europa.eu/ontology/cybersecurity/compliance_security_privacy_policies_procedures_regulations; http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity_economic_aspects; http://data.jrc.ec.europa.eu/ontology/cybersecurity/device_end-of-life_security_privacy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/governance_incident-management_disaster-recovery_business-continuity; http://data.jrc.ec.europa.eu/ontology/cybersecurity/impact_hardware-software_changes_magement_information_security; http://data.jrc.ec.europa.eu/ontology/cybersecurity/information-security_managerial_aspects; http://data.jrc.ec.europa.eu/ontology/cybersecurity/modelling_cross-sectoral_interdependencies_cascading; http://data.jrc.ec.europa.eu/ontology/cybersecurity/privacy-impact-assessment_risk_management; http://data.jrc.ec.europa.eu/ontology/cybersecurity/risk-management_modeling_assessment_analysis_mitigation; http://data.jrc.ec.europa.eu/ontology/cybersecurity/standards_information_security; http://data.jrc.ec.europa.eu/ontology/cybersecurity/techniques_business_continuity-disaster_recovery; http://data.jrc.ec.europa.eu/ontology/cybersecurity/threats_vulnerabilities_modelling
Security Measurements,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_measurements,security_measurements,"Information security measurements are used to facilitate decision-making and improve performance and accountability through the collection, analysis and reporting of relevant cybersecurity performance-related data. The purpose of measuring performance is to monitor the status of measured activities and facilitate improvement in those activities by applying corrective actions based on observed measurements.",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/measurement_assessment_seecurity_levels; http://data.jrc.ec.europa.eu/ontology/cybersecurity/security-metrics_key-performance-indicators_benchmarks; http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_analytics_visualization; http://data.jrc.ec.europa.eu/ontology/cybersecurity/validation_comparison_frameworks_security_metrics
Security analytics and visualization,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_analytics_visualization,security_analytics_visualization,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_measurements,
Security and risk analysis of components compositions,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_risk_analysis_components_compositions,security_risk_analysis_components_compositions,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,
Security design patterns,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_design_patterns,security_design_patterns,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,
Security documentation,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_documentation,security_documentation,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,
"Security metrics, key performance indicators, and benchmarks",http://data.jrc.ec.europa.eu/ontology/cybersecurity/security-metrics_key-performance-indicators_benchmarks,security-metrics_key-performance-indicators_benchmarks,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_measurements,
"Security requirements engineering with emphasis on identity, privacy, accountability, and trust",http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_requirements_engineering,security_requirements_engineering,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,
Security support in programming environments,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_support_programming_environments,security_support_programming_environments,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,
Security testing and validation,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_testing_validation,security_testing_validation,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,
Security visualization,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_visualization,security_visualization,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/human_aspects,
"Self-* including self-healing, self-protecting, self-configuration systems",http://data.jrc.ec.europa.eu/ontology/cybersecurity/self_healing-protecting-configuration_systems,self_healing-protecting-configuration_systems,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,
"Semantics and models for security, accountability, privacy, and trust",http://data.jrc.ec.europa.eu/ontology/cybersecurity/semantics_models_security_accountability_privacy_trust,semantics_models_security_accountability_privacy_trust,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_management_accountability,
Social aspects of trust,http://data.jrc.ec.europa.eu/ontology/cybersecurity/social_aspects_trust,social_aspects_trust,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_management_accountability,
Socio-technical security,http://data.jrc.ec.europa.eu/ontology/cybersecurity/socio-technical_security,socio-technical_security,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/human_aspects,
Software and Hardware Security Engineering,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,software_hardware_security_engineering,"Security aspects in the software and hardware development lifecycle such as risk and requirements analysis, architecture design, code implementation, validation, verification, testing, deployment and runtime monitoring of operation.",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/attack_techniques; http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity_cybersafety_co-engineering; http://data.jrc.ec.europa.eu/ontology/cybersecurity/fault_injection_testing_analysis; http://data.jrc.ec.europa.eu/ontology/cybersecurity/intrusion_detection_honeypots; http://data.jrc.ec.europa.eu/ontology/cybersecurity/malware_analysis; http://data.jrc.ec.europa.eu/ontology/cybersecurity/model-driven_security_domain-specific_modelling_languages; http://data.jrc.ec.europa.eu/ontology/cybersecurity/privacy-by-design; http://data.jrc.ec.europa.eu/ontology/cybersecurity/quantitative_security_assurance; http://data.jrc.ec.europa.eu/ontology/cybersecurity/refinement-verification_security_management_policy_models; http://data.jrc.ec.europa.eu/ontology/cybersecurity/runtime_security_verification_enforcement; http://data.jrc.ec.europa.eu/ontology/cybersecurity/secure_programming_principles_best_practices; http://data.jrc.ec.europa.eu/ontology/cybersecurity/secure_softwre_architectures_design; http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_design_patterns; http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_documentation; http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_requirements_engineering; http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_risk_analysis_components_compositions; http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_support_programming_environments; http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_testing_validation; http://data.jrc.ec.europa.eu/ontology/cybersecurity/self_healing-protecting-configuration_systems; http://data.jrc.ec.europa.eu/ontology/cybersecurity/vulnerability_discovery_penetration_testing
Space,http://data.jrc.ec.europa.eu/ontology/cybersecurity/space,space,"The set of activities to foster the creation of specific programmes for space exploration. Such programmes space organisations and industry to implement the functionality required to realize such activities, including navigation and time services, Earth observation, or the use of satellite data providers.",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/sector,,
Standards for Information Security,http://data.jrc.ec.europa.eu/ontology/cybersecurity/standards_information_security,standards_information_security,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_management_governance,
Steganalysis,http://data.jrc.ec.europa.eu/ontology/cybersecurity/steganalysis,steganalysis,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/steganography_steganalysis_watermarking,
Steganography,http://data.jrc.ec.europa.eu/ontology/cybersecurity/steganography,steganography,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/steganography_steganalysis_watermarking,
"Steganography, Steganalysis and Watermarking",http://data.jrc.ec.europa.eu/ontology/cybersecurity/steganography_steganalysis_watermarking,steganography_steganalysis_watermarking,"This domain consists of techniques for steganography, steganalysis, and watermarking. Steganography is a technique for hiding secret data within files or message while steganalysis deals with the detection of data hidden using steganography. Digital watermarking is similar to steganography where the embedded data typically is not secret and the goal is also to ensure data integrity.",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/digital_watermarking; http://data.jrc.ec.europa.eu/ontology/cybersecurity/steganalysis; http://data.jrc.ec.europa.eu/ontology/cybersecurity/steganography
Symmetric cryptography,http://data.jrc.ec.europa.eu/ontology/cybersecurity/symmetric_cyptography,symmetric_cyptography,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cryptology,
Techniques to ensure business continuity/disaster recovery,http://data.jrc.ec.europa.eu/ontology/cybersecurity/techniques_business_continuity-disaster_recovery,techniques_business_continuity-disaster_recovery,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_management_governance,
Telecomm Infrastructure,http://data.jrc.ec.europa.eu/ontology/cybersecurity/telecomm_infrastructure,telecomm_infrastructure,"Includes companies and internet service providers, as well as the infrastructures required to realise such communications (e.g., DNS service providers).",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/sector,,
Theoretical Foundations,http://data.jrc.ec.europa.eu/ontology/cybersecurity/theoretical_foundations,theoretical_foundations,"This domain refers to the use analysis and verification techniques based on formal methods to provide theoretical proof of security properties either in software, hardware and algorithm design.",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity_concepts_ontologies_taxonomies_foundations; http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity_uncertainty_models; http://data.jrc.ec.europa.eu/ontology/cybersecurity/formal_specification_analysis_verification_software_hardware; http://data.jrc.ec.europa.eu/ontology/cybersecurity/formal_specification_aspects_security; http://data.jrc.ec.europa.eu/ontology/cybersecurity/formal_verification_security_assurance; http://data.jrc.ec.europa.eu/ontology/cybersecurity/information_flow_modelling; http://data.jrc.ec.europa.eu/ontology/cybersecurity/new_theoreticall_techniques_formal_analysis_design_cryptographic_protocols
"Theories, techniques and tools for the identification, collection, attribution, acquisition, analysis and preservation of digital evidence",http://data.jrc.ec.europa.eu/ontology/cybersecurity/theories-techniques-tools_management_preservation_digital_evidence,theories-techniques-tools_management_preservation_digital_evidence,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/incident_handling_digital_forensics,
Threats and vulnerabilities modelling,http://data.jrc.ec.europa.eu/ontology/cybersecurity/threats_vulnerabilities_modelling,threats_vulnerabilities_modelling,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_management_governance,
Transparent security,http://data.jrc.ec.europa.eu/ontology/cybersecurity/transparent_security,transparent_security,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/human_aspects,
Transportation,http://data.jrc.ec.europa.eu/ontology/cybersecurity/transportation,transportation,"Includes activities related to the movement of humans, animals or objects between two points. This movement can be performed by different means (e.g., air, land or water) and could involve different infrastructure components (e.g., traffic management operators or road authorities), vehicles (e.g., cars, planes or ships) and operations, such as managing and supervise the infrastructure entities.",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/sector,,
Trust Management and Accountability,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_management_accountability,trust_management_accountability,"This domain comprises trust issues related to digital and physical entities such as applications, services, components, or systems. Trust management approaches can be employed in order to assess assurance and accountability guarantees.",,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/algorithmic_auditability_accountability; http://data.jrc.ec.europa.eu/ontology/cybersecurity/identity_trust_management; http://data.jrc.ec.europa.eu/ontology/cybersecurity/reputation_models; http://data.jrc.ec.europa.eu/ontology/cybersecurity/semantics_models_security_accountability_privacy_trust; http://data.jrc.ec.europa.eu/ontology/cybersecurity/social_aspects_trust; http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_decision_making_algorithms; http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_management_architectures_mechanisms_policies; http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_privacy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_reputation_social_mainstream_media; http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_securing_digital_physical_assets; http://data.jrc.ec.europa.eu/ontology/cybersecurity/trusted_computing
Trust and privacy,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_privacy,trust_privacy,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_management_accountability,
Trust and reputation of social and mainstream media,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_reputation_social_mainstream_media,trust_reputation_social_mainstream_media,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_management_accountability,
Trust in decision making algorithms,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_decision_making_algorithms,trust_decision_making_algorithms,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_management_accountability,
Trust in securing digital as well as physical assets,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_securing_digital_physical_assets,trust_securing_digital_physical_assets,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_management_accountability,
"Trust management architectures, mechanisms and policies",http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_management_architectures_mechanisms_policies,trust_management_architectures_mechanisms_policies,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_management_accountability,
Trusted computing,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trusted_computing,trusted_computing,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/trust_management_accountability,
UAV,http://data.jrc.ec.europa.eu/ontology/cybersecurity/uav,uav,,Unmanned aerial vehicles,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/technology,,
Usability,http://data.jrc.ec.europa.eu/ontology/cybersecurity/usability,usability,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/human_aspects,
User acceptance of security policies and technologies,http://data.jrc.ec.europa.eu/ontology/cybersecurity/user_acceptance_security_policies-technologies,user_acceptance_security_policies-technologies,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/human_aspects,
Validation and comparison frameworks for security metrics,http://data.jrc.ec.europa.eu/ontology/cybersecurity/validation_comparison_frameworks_security_metrics,validation_comparison_frameworks_security_metrics,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/security_measurements,
Vehicular Systems,http://data.jrc.ec.europa.eu/ontology/cybersecurity/vehicular_systems,vehicular_systems,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/technology,,
Vocational training,http://data.jrc.ec.europa.eu/ontology/cybersecurity/vocational_training,vocational_training,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/education_training,
Vulnerability analysis and response,http://data.jrc.ec.europa.eu/ontology/cybersecurity/vulnerability_analysis_response,vulnerability_analysis_response,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/incident_handling_digital_forensics,
Vulnerability discovery and penetration testing,http://data.jrc.ec.europa.eu/ontology/cybersecurity/vulnerability_discovery_penetration_testing,vulnerability_discovery_penetration_testing,,,http://data.jrc.ec.europa.eu/ontology/cybersecurity/cybersecurity-taxonomy; http://data.jrc.ec.europa.eu/ontology/cybersecurity/knowledge_domain,http://data.jrc.ec.europa.eu/ontology/cybersecurity/software_hardware_security_engineering,
